#Table1
objid,ra,dec,magnitude,redshift
1237667447806165187,191.540986237289,25.1749254335972,18.39876,0.08759297
1237667444048724349,195.143447755416,27.9346919831049,17.3859,0.02923246
1237667444048724352,195.14759251873,27.9427442848064,17.38996,0.02325009
1237667447270735995,195.061669548747,24.4676673967682,16.15085,0.07281762
1237667444048724292,195.075311082137,27.8163698275666,20.07959,-3.100309E-05
1237665428626735164,195.094703903034,29.573487387452,21.6469,0.5211738
1237665427553583442,196.529645907767,28.506845851352,22.35295,0.5349424
1237667444585136598,193.891426979922,28.2763211607299,21.44342,0.6269156
1237667447270212364,193.806223447872,24.5710483359542,21.40924,0.4855227
1237667322187481277,195.809922163555,26.2685152428021,20.65581,0.4037565
1237665427553321028,195.832508886991,28.6172727887781,16.67945,0.01988279
1237667323798487769,196.848948959661,27.5013606040431,22.06451,0.6105604
1237667323797111626,193.397818432416,27.7303143562922,21.47412,0.5136987
1237665440978370644,193.454611651753,28.9414833151786,19.26262,0.2608733
1237667324334834130,195.562714997001,27.9747215300482,21.59887,0.5388654
1237667321650544721,195.563194947322,26.0118470268024,17.31574,0.06979647
1237667323261092539,195.565618939511,27.213640741259,21.14421,0.5565168
1237667443510542999,191.603660965946,27.6138771922061,22.56895,0.6197714
1237667444585857173,195.850840080124,28.2876912518754,17.25964,0.09266628
1237667324334964901,195.855544393712,28.0139938315681,15.4512,0.02654376
1237667912208154772,195.869530587427,25.2167761296613,18.24781,0.1355481
1237665428090191933,195.870766969023,28.9882318515016,16.77069,0.08360317
1237667323798094011,195.904560111424,27.500876495951,17.79005,0.0585001
1237667252945093290,192.916063380873,28.7351009603119,22.7976,0.5895593
1237665427553649014,196.756435465161,28.5983962707052,22.40154,0.4840184
1237667323798159888,196.037458505815,27.5478915588435,21.83361,0.5060294
1237667441901699152,196.059085218774,26.0515796565481,17.1844,0.06458545
1237667911671350089,196.063353434272,24.6892814575098,21.96153,0.7058274
1237667444584022160,191.11996221675,28.4330765482593,17.15511,0.02394558
1237667448342905218,191.134116679826,25.5699531921489,22.59475,0.5625511
1237667448879776199,191.150595976811,26.0272290777924,21.72735,0.4751601
1237667444048068975,193.353944003206,28.0216721815466,22.24205,0.6642848
1237667321649692770,193.377329979971,26.1691271559213,17.66909,0.08540471
1237667441900650833,193.381403308294,26.2315277307595,22.25645,0.4629374
1237667324334964812,195.961653752345,27.9883676069246,14.98678,0.02117967
1237667911671349744,195.963735591772,24.6440844660301,22.51349,0.511472
1237667444584284274,191.740941565914,28.4772777214457,16.31297,0.05635818
1237667912743387325,191.750032003377,25.8371241458736,17.62576,0.06108765
1237667252944896196,192.420817979284,28.7589309189492,18.43589,0.1958802
1237667252944896188,192.421958909055,28.8448138894597,18.52926,0.02177821
1237667444584546359,192.45771230626,28.4939250597951,17.50687,0.05579305
1237665440441172062,192.461376215683,28.6093845827953,19.8604,0.2958626
1237667448344215637,194.462876958535,25.3574817884791,19.03378,0.2778779
1237667323797569629,194.477995819087,27.6159039293879,15.62078,0.06786095
